"id","kmt","ddp","pfp"
"10015100-001",47.9,32.5,18.3
"10015100-008",40.4,43.3,13.8
"10015100-002",42,39.6,16.3
"10015100-009",42.8,42.9,12.5
"10015100-012",40.9,44.9,10.9
"10015100-004",53.3,34.7,8.8
"10015100-003",56.1,23.9,17.5
"10015100-013",38.1,47.6,12
"10015100-011",58.7,25.1,12.9
"10015100-006",42,34.8,21.9
"10015040-008",54.6,25,18.9
"10015040-004",47.2,35.1,16.2
"10015040-005",42.3,37.7,18.7
"10015040-003",45.4,38.3,14.9
"10015040-002",28.5,59.9,10.5
"10015040-001",42.5,43.1,13.5
"10015040-006",49.2,30.4,18.9
"10015040-007",57.3,26.4,14.6
"10015090-008",66.9,19.3,13.9
"10015090-010",58.8,19.7,19.7
"10015090-009",43.7,37.2,16
"10015090-011",34.2,50.7,13.1
"10015090-005",49.4,32.1,16.2
"10015090-003",47.1,37.3,14.9
"10015090-002",49.8,37.4,11.5
"10015090-004",42.4,40.5,14.7
"10015090-001",46,38.6,14.4
"10015090-006",54.2,26.8,17.4
"10015090-007",66.2,19.5,12.1
"10015120-001",63.7,17.3,17.8
"10015120-002",53.5,21.2,23.8
"10015120-004",50.1,30.4,17.5
"10015120-006",62.5,16.5,20
"10015120-005",65.1,17.3,15.2
"10015120-003",58,24.8,16
"10015060-013",57.5,22.4,18.1
"10015060-014",49.3,34,15.1
"10015060-010",38.2,47.4,14
"10015060-008",57.9,28.9,12.6
"10015060-006",45.1,37.2,15.8
"10015060-009",44.9,40.6,13.1
"10015060-012",59.1,27,13.2
"10015060-011",37.1,46.6,14.2
"10015060-002",50.3,33.7,14.6
"10015060-007",44.6,42.5,12.1
"10015060-001",43.3,41.4,12.8
"10015060-003",40.9,44.9,12.8
"10015060-005",48.9,37.3,13
"10015060-004",46.6,38.1,14.4
"10015060-015",48.6,34.8,15.5
"10015020-007",43.5,43.5,10.8
"10015020-006",57.3,30,10.7
"10015020-008",30.3,58.4,9.2
"10015020-010",47,37.2,12.5
"10015020-011",44,41.9,13.7
"10015020-009",44.9,43,9.2
"10015020-012",66.2,18.5,12.3
"10015020-001",49.4,37.7,12.4
"10015020-005",54.2,27.3,17
"10015020-004",60.4,27.2,11.4
"10015020-002",49.3,30.2,16.7
"10015020-003",53.1,35.8,9.8
"10015080-004",58.6,30.1,10
"10015080-002",61.3,17.5,17.8
"10015080-005",69.1,20.5,9.4
"10015080-003",66.7,19.4,12.8
"10015080-001",60.3,23.2,14.5
"09020020-002",71.2,15.4,12.5
"09020020-003",67.5,14,15.2
"09020020-004",67,15.8,14.6
"09020020-006",69.1,11.7,17.1
"09020020-005",66.7,14.9,17.1
"09020020-001",68.2,16,14.3
"09020020-007",78.1,8.9,11.4
"09020020-008",66,14.7,17.2
"09020010-004",65,17.3,16.5
"09020010-005",68.5,13.9,16
"09020010-002",67.7,17.7,13
"09020010-001",65.2,18.1,15.2
"09020010-006",63.5,15.8,17.5
"09020010-003",66,15.8,16.9
"09020010-007",66.7,18.2,13.1
"09020010-008",61.1,22.2,15.4
"09020030-002",62,19,18
"09020030-003",65.8,17.4,14.7
"09020030-004",66.6,14.4,18.5
"09020030-001",65.3,18.5,15
"09020030-006",59.5,21.2,18.4
"09020030-007",68.7,12.3,16.2
"09020030-008",73.5,12.3,12.5
"09020030-005",65.4,19,14
"09020040-001",72.3,13.4,12.9
"09020040-003",69.8,11.9,16.1
"09020040-002",64.6,17.1,15.8
"09020040-004",63.9,16.8,18
"09020040-005",63.6,18.6,16
"09020040-006",44.7,34.6,18.9
"09020050-001",73.2,12,12.8
"09020050-002",76.1,6.7,16.4
"09020050-003",71.3,14.4,12.3
"09020050-004",68.7,11.6,17.8
"09020050-005",74.7,12.9,11
"09020060-001",76,16,6
"09020060-002",81.2,12.5,6.2
"10008080-003",29.4,55.8,13.5
"10008080-008",35.5,50.8,12.4
"10008080-016",32.6,52.4,12.4
"10008080-006",31.3,52.4,15
"10008080-015",28.3,56.1,14.7
"10008080-017",29.2,54,16.1
"10008080-010",32.9,51.4,14.5
"10008080-004",27.2,58.6,13.2
"10008080-002",25.5,56.6,17.1
"10008080-012",30.5,53,15.7
"10008080-018",28.5,54.5,15.6
"10008080-007",25,55.7,18.8
"10008080-011",27,58.5,13.4
"10008080-005",30.2,55.4,12.3
"10008080-009",20.8,65.9,11.3
"10008080-001",22,64.5,11.3
"10008080-013",21.8,63.3,12.9
"10008080-014",25.5,57.2,16.3
"10008130-005",52.3,22.3,23
"10008130-009",47.3,30.5,21.5
"10008130-002",60.8,16.7,21.2
"10008130-003",47,14.3,38.4
"10008130-007",59,23.6,16.3
"10008130-001",62.9,17,19.1
"10008130-010",32.9,33.6,33
"10008130-011",50.3,22.1,26.8
"10008130-016",66.7,15.9,16.3
"10008130-006",53.4,19.2,26.8
"10008130-004",61.9,12.1,26
"10008130-013",64.1,19.2,15.5
"10008130-014",38.7,25.8,32.3
"10008130-012",50.8,27.4,21.1
"10008130-015",48.2,32.5,17.3
"10008130-008",44.6,16.5,38
"10008110-014",33.6,49.3,15
"10008110-004",39.9,44.6,14.6
"10008110-001",36.5,43.2,18.9
"10008110-006",36.3,48,15.4
"10008110-015",24.7,61.6,10.9
"10008110-016",26.2,56.4,14.2
"10008110-008",29.3,51.8,17.9
"10008110-017",18.3,66,13.6
"10008110-010",32.2,39.1,27
"10008110-019",33.9,49.8,14.6
"10008110-005",36.4,45.4,17.1
"10008110-013",34.6,42.8,20.7
"10008110-009",31.8,48.7,17.4
"10008110-012",29.8,57.3,11.3
"10008110-003",29.8,53,15.9
"10008110-011",35.9,44.6,18
"10008110-002",37.9,46,14.9
"10008110-007",32.9,48.1,18.6
"10008110-018",26,58,13.6
"10008060-016",23.7,62.6,12.2
"10008060-011",18,70.8,9.7
"10008060-013",19.8,66.7,12
"10008060-003",26.7,56.5,15.3
"10008060-002",27.3,58.4,12.7
"10008060-023",39.3,50.7,8.2
"10008060-010",22.2,65.5,10.3
"10008060-014",22.4,67.7,7.7
"10008060-015",24.5,66,8.3
"10008060-008",23.5,61.6,12.3
"10008060-017",25.4,60.8,12
"10008060-018",19,67.2,12.6
"10008060-001",29.2,54.7,14.7
"10008060-005",26,62.2,11.2
"10008060-019",23.1,65.6,9.6
"10008060-020",32.9,50.5,14.7
"10008060-006",22.7,60.1,16.2
"10008060-022",23.8,62.7,12.4
"10008060-021",27.2,58.2,13.2
"10008060-007",24.3,61.6,12.5
"10008060-009",20.1,66.3,11.8
"10008060-004",27.1,59.6,11.6
"10008040-006",32,54.9,12.3
"10008040-019",34.1,58.2,6.4
"10008040-015",24.6,59.3,14.9
"10008040-003",31,56.3,11.7
"10008040-017",24,64.5,10.7
"10008040-002",35.2,51.6,9.9
"10008040-008",17.3,72.8,8.3
"10008040-009",31.9,56.5,10.8
"10008040-020",26.7,57,13.5
"10008040-001",35.1,54.1,9.2
"10008040-028",34.3,53.6,10.7
"10008040-026",24.8,63.5,10
"10008040-024",29,56.9,12.3
"10008040-013",28.4,58.3,12.3
"10008040-011",24.8,59,14.9
"10008040-012",27.1,58.4,12.5
"10008040-014",29.9,54.8,13.8
"10008040-027",26.7,58.2,13.5
"10008040-016",25.8,59.3,13.9
"10008040-007",27.9,57.1,13.4
"10008040-025",25.7,61.4,10.8
"10008040-018",27.7,56.4,14
"10008040-004",31.6,53.6,13.6
"10008040-023",27.5,61,10.1
"10008040-021",35.8,47.3,15.9
"10008040-010",30.9,57.8,10.7
"10008040-022",28.9,59.3,11.2
"10008120-001",50.9,25,21.8
"10008120-009",24.6,58.8,14.5
"10008120-002",58.1,22.6,17
"10008120-006",29.3,48.3,20.8
"10008120-004",44.2,43.2,11.1
"10008120-011",48.2,35.7,13.2
"10008120-010",30.5,44.3,23.9
"10008120-008",41.4,41.2,15.2
"10008120-005",29.9,49.7,17.8
"10008120-013",61,23.6,14.7
"10008120-003",63.7,12.7,22.3
"10008120-014",29.9,52.2,15.9
"10008120-012",52.9,32.8,13.5
"10008120-007",56.8,26.7,15.1
"10008010-003",33,48,17.7
"10008010-016",36.3,49.1,13.5
"10008010-015",35.6,45.9,17
"10008010-014",29.8,53.8,15
"10008010-004",29.4,57.6,11.5
"10008010-030",25.5,53.4,19.5
"10008010-029",35.8,41.9,20.7
"10008010-023",29.5,52.5,16.6
"10008010-012",32.3,51,15.6
"10008010-020",22.4,59.2,16.1
"10008010-025",28.3,55.8,15.3
"10008010-033",58.7,15.3,24.7
"10008010-031",58,17.8,22.5
"10008010-032",58.8,18.8,20.3
"10008010-034",41.6,34.6,22.8
"10008010-011",24.5,57.8,16.6
"10008010-005",30.3,55.1,13.5
"10008010-010",30.1,49.3,19.6
"10008010-013",25,61.6,11.7
"10008010-007",37.5,48.2,13.5
"10008010-002",33.2,50.5,15.3
"10008010-024",26.1,56,16.8
"10008010-018",30,53.6,15.1
"10008010-017",22.8,62.6,12.8
"10008010-006",26.3,61.9,10.1
"10008010-009",32.7,50.5,15.4
"10008010-008",28.7,55.9,14.3
"10008010-019",30.5,53,14.8
"10008010-026",27.1,53,18
"10008010-022",22.1,65.2,11.6
"10008010-021",18.5,69.5,9.8
"10008010-001",30.4,56.6,12.5
"10008010-027",43.9,35.7,19.3
"10008010-028",31.4,43.8,23.9
"10008020-022",58.9,33.1,6.9
"10008020-008",36.3,46.2,16.5
"10008020-027",27.4,54.8,16
"10008020-011",27.8,53.6,17.3
"10008020-026",24.8,59.4,14.6
"10008020-030",36.4,45.8,16.3
"10008020-004",36.9,46.8,14.8
"10008020-032",34.6,47.2,16.8
"10008020-024",39.5,45.3,14.7
"10008020-005",34.5,46.8,17.5
"10008020-021",36.5,49,12.8
"10008020-029",28.9,55.3,13.7
"10008020-016",37.7,47,14.8
"10008020-003",34.2,50.2,14.3
"10008020-020",27.7,49.4,21.2
"10008020-001",35.5,48.7,14.5
"10008020-031",32,50.9,16.2
"10008020-010",32.6,48.4,17.8
"10008020-017",29.4,50.3,18.9
"10008020-002",36.4,49.6,12.2
"10008020-015",34.5,49.6,13.7
"10008020-033",37.2,44.7,16.8
"10008020-013",29.5,55.1,14.7
"10008020-007",34.8,49,15.4
"10008020-018",35.8,43.2,18.8
"10008020-014",38.8,44.5,15.8
"10008020-028",32.3,51.9,14.7
"10008020-025",25.7,61.7,11
"10008020-023",36.9,50.9,9.5
"10008020-006",34.2,52.5,12.9
"10008020-012",28.6,50.7,19.3
"10008020-009",27.9,60.9,9.7
"10008020-019",31.2,46.4,20.3
"10008030-012",33.1,48,17.5
"10008030-020",32.4,54.2,12.1
"10008030-005",36.5,43.8,18.5
"10008030-025",32.1,53.4,13.3
"10008030-024",35,48.9,14.7
"10008030-018",25.8,63.2,9.8
"10008030-016",25.1,61,12.6
"10008030-014",21.8,60.1,16.8
"10008030-017",25.6,61,12.6
"10008030-023",31.8,49.3,15.7
"10008030-001",34.2,49.8,15.1
"10008030-015",28.5,55.3,14.6
"10008030-003",28.7,55.8,14.5
"10008030-021",29.8,54.2,14.3
"10008030-026",32.3,49,17.5
"10008030-002",32.4,52.1,13.5
"10008030-019",25.3,57.9,15.6
"10008030-007",28.8,53.7,15.8
"10008030-006",28.9,54.7,15.2
"10008030-011",27.3,56.9,14.4
"10008030-004",31.8,50.9,16.2
"10008030-013",30.1,50.5,17.9
"10008030-027",35.9,48.1,14.8
"10008030-008",29.2,57.3,12.5
"10008030-010",29.3,49.2,20.8
"10008030-009",27.8,54.1,16.6
"10008030-022",24.2,56.6,17.7
"10008100-012",26.7,51.5,21.2
"10008100-003",28.6,56.3,13.5
"10008100-010",26.8,51.9,19.8
"10008100-004",27.5,51.2,20
"10008100-002",31.2,49.2,18.4
"10008100-005",35.6,46.4,16.1
"10008100-006",38.1,47.8,11.9
"10008100-013",41.6,42.6,14.1
"10008100-011",35.1,45.6,18
"10008100-009",32.8,48.7,17
"10008100-008",33.1,51.8,13.7
"10008100-001",31.9,52.4,14.7
"10008100-007",35.4,45,18.1
"10008090-005",22.3,63.3,13
"10008090-008",28.5,59.9,10.9
"10008090-003",27.9,57.4,12.9
"10008090-009",28,58.5,11.7
"10008090-013",29.1,54.3,15.8
"10008090-010",35.9,44.9,18.1
"10008090-007",33.1,56.2,9.4
"10008090-006",21.8,64.3,11.6
"10008090-001",31.4,55.4,11.6
"10008090-012",36.9,46,14.9
"10008090-002",33.1,52.3,12.8
