"id","kmt","ddp","pfp"
"65000010-040",30.3,59.3,9.5
"65000010-008",30.8,57.2,10.7
"65000010-016",28.7,59.3,11
"65000010-069",31.5,56.9,10.2
"65000010-055",28.8,59.9,9.4
"65000010-047",24.2,63,11.6
"65000010-088",31.6,55.7,11.4
"65000010-019",27.9,59.6,10.8
"65000010-110",35,52.9,10.2
"65000010-041",29.2,58.5,11.1
"65000010-002",32.5,56.5,10.5
"65000010-080",32.3,55.5,11.3
"65000010-066",31,57.7,9.9
"65000010-009",27.4,60.8,10.8
"65000010-101",30.9,57.4,10.5
"65000010-054",31.7,57.8,9.5
"65000010-052",25.2,64.3,9.5
"65000010-051",28,60.9,10.1
"65000010-057",31.8,56.4,10.6
"65000010-089",22.1,64.1,12.6
"65000010-001",34.7,48.8,14.5
"65000010-030",26.5,61.5,10.7
"65000010-005",42.3,46.2,10.4
"65000010-014",54.3,31.9,12.5
"65000010-073",36.4,51.4,11.1
"65000010-061",29.4,58.9,10.6
"65000010-112",27.2,58.6,13
"65000010-098",28.8,57.8,12.3
"65000010-065",35.7,52,10.8
"65000010-106",25.9,63.6,9.2
"65000010-121",33.6,55.3,9.6
"65000010-107",33.3,55.8,10.2
"65000010-045",24.7,63.7,10.7
"65000010-093",33.9,53.3,11
"65000010-075",33.7,53.9,11.2
"65000010-117",25.4,63.7,9.3
"65000010-015",32.3,55.5,10.7
"65000010-050",28.1,60.4,10.5
"65000010-017",28.4,59.5,11
"65000010-090",23.7,64.3,11
"65000010-028",33.5,54.6,10.7
"65000010-087",38.3,49.1,11.3
"65000010-085",31.5,56.6,11.1
"65000010-111",33.3,54.8,10.9
"65000010-043",27.8,60.1,11
"65000010-086",34.1,54.3,10.7
"65000010-084",32.1,54.8,11.6
"65000010-077",34,54.8,9.6
"65000010-116",29.5,59.7,9.2
"65000010-004",28.2,59.4,11.2
"65000010-006",31.7,55.1,11.8
"65000010-022",31.6,56,11.4
"65000010-102",30.4,59.5,9.3
"65000010-027",30.5,57.3,10.9
"65000010-105",24.9,63,11
"65000010-035",29.7,58.5,10.8
"65000010-007",32.5,54.3,12.3
"65000010-100",28.5,56.4,13.9
"65000010-099",28.6,59.1,11
"65000010-124",29.1,57.2,12.6
"65000010-031",27.7,61.5,9.4
"65000010-091",25.7,61.4,12
"65000010-020",35,53.3,10.2
"65000010-038",23.3,65.9,9.7
"65000010-070",39.6,47.6,11.6
"65000010-095",31.1,55,12.7
"65000010-076",34.1,55.9,8.9
"65000010-071",39.7,48.4,10.4
"65000010-056",32.8,53.5,12.4
"65000010-049",31.3,56.1,10.9
"65000010-074",33.2,55.9,9.8
"65000010-096",25.7,61.3,11.7
"65000010-064",27.8,60.6,10.4
"65000010-083",28.5,58,12.6
"65000010-078",33.8,53.3,11.6
"65000010-037",30.6,56.5,11.5
"65000010-097",27.4,58.9,12.2
"65000010-042",27.6,61.1,10.4
"65000010-032",32.5,55.6,10.8
"65000010-063",26.9,60.2,11.6
"65000010-048",26.4,63.1,9.5
"65000010-126",25.8,63,10.2
"65000270-010",29.6,59.5,10
"65000270-002",33.9,50.2,15.1
"65000270-006",30.9,56.4,11.1
"65000270-009",27.9,65.9,4.1
"65000270-014",36,58.6,4.5
"65000270-013",37.2,52.9,6.6
"65000270-008",28.9,60.6,9.3
"65000270-001",35.4,53.7,8.7
"65000270-015",32.1,56.5,10.2
"65000270-005",31.3,56.6,11.3
"65000270-007",26.8,63,8.6
"65000270-011",33.1,57.2,8.2
"65000270-012",27.7,62.9,7.9
"65000270-004",23.8,65.9,9.4
"65000270-003",31.7,60.1,6.5
"65000160-001",21.3,64,13.5
"65000160-003",30.6,55.8,12.4
"65000160-017",29.4,56.1,13.2
"65000160-006",34.3,52.2,12.5
"65000160-011",28.1,59,11.4
"65000160-008",31.2,56.1,11.7
"65000160-013",31.8,56.5,10.5
"65000160-009",29.4,57.9,11
"65000160-010",29.4,58.4,11.2
"65000160-015",33.4,53.7,11.9
"65000160-014",27.4,60.4,11.3
"65000160-005",27.6,58.9,12.3
"65000160-012",27.3,60.3,11.6
"65000160-007",29.3,59.1,10.5
"65000160-004",29.1,57.1,12.9
"65000160-016",30.8,54.9,12.6
"65000160-002",26.9,58.4,13.2
"65000290-005",26.1,60.1,12.4
"65000290-002",41.1,38.9,18.2
"65000290-004",34.8,51.1,13.1
"65000290-001",34.8,43.5,20.3
"65000290-003",47.2,26.9,24.6
"65000260-007",26.3,63.9,8.1
"65000260-002",35,57.1,6.1
"65000260-011",23.2,70.1,6.6
"65000260-010",21.4,68.9,8.6
"65000260-008",14.7,78.5,5.3
"65000260-001",32.2,57.1,9.2
"65000260-009",29.9,63.4,6
"65000260-006",31,58,9.5
"65000260-005",21.9,70.8,5.7
"65000260-004",27.4,64.5,6.2
"65000260-003",27.4,65.5,4.8
"65000100-020",36.6,51.1,11
"65000100-042",39.4,47.6,11.9
"65000100-001",31.5,61.3,6.2
"65000100-023",36.5,52.1,10.2
"65000100-002",24.7,66.6,7.9
"65000100-031",37.1,51.2,10.5
"65000100-013",24.7,64.8,9.3
"65000100-011",32.4,56,10.5
"65000100-012",37.6,49.2,12.1
"65000100-038",37,50.1,11.6
"65000100-037",37.1,49.9,11.5
"65000100-019",35.6,52.4,11.2
"65000100-029",29.4,62.5,7.1
"65000100-039",35.4,52.1,10.8
"65000100-028",36.8,51.7,10.3
"65000100-018",37.4,50.3,11.5
"65000100-033",34.8,54,9.9
"65000100-027",31.5,56.3,11.1
"65000100-016",30.7,59,9
"65000100-040",33.4,54.4,11
"65000100-007",33.6,56.5,8.4
"65000100-014",26.3,65.8,7
"65000100-032",36.4,50.3,11.9
"65000100-024",34.3,56.3,8.5
"65000100-021",40.1,47.9,10.7
"65000100-008",41,46.7,11.1
"65000100-026",30.3,59,9.6
"65000100-009",32.9,56.9,8.6
"65000100-025",28.4,57.5,11.8
"65000100-036",35.6,51.3,11.6
"65000100-030",31.5,58.3,8.5
"65000100-035",35.9,51,12.1
"65000100-034",31.6,57.9,9.6
"65000100-010",36.9,48.1,13.8
"65000100-006",35.2,53,10.6
"65000100-017",40.3,47,11.3
"65000100-003",37.4,53,8
"65000100-022",38.3,49.6,11
"65000100-041",36.4,50.3,12.5
"65000100-015",31,60.2,7.5
"65000100-004",31.7,57.5,10.2
"65000100-005",40.4,43,15
"65000180-003",35.8,51.3,11.8
"65000180-004",36.9,48.8,13.3
"65000180-005",28.1,61.3,9.3
"65000180-006",36.8,49.7,12.4
"65000180-001",33.5,53.6,11.8
"65000180-002",34.1,54.2,10.2
"65000180-007",33.2,55.8,9.6
"65000180-008",38.6,48.1,11.9
"65000060-013",36.8,52.3,9.7
"65000060-004",42.8,43,12.4
"65000060-003",45.9,41.9,10.7
"65000060-010",67,18.4,12.6
"65000060-059",50.4,34.8,13.1
"65000060-052",53.9,32.7,11.9
"65000060-054",52,36,10.3
"65000060-044",48.6,37.7,12
"65000060-045",53.2,33.7,11.1
"65000060-037",47.2,39.6,11.8
"65000060-041",47.9,40.5,9.7
"65000060-046",51.3,37.8,9.4
"65000060-016",42.4,43.6,12.7
"65000060-011",41.1,41.1,15.7
"65000060-034",48.4,37.2,13.5
"65000060-036",36.3,50.1,12.3
"65000060-019",36.9,49.1,12.4
"65000060-067",42.7,42.4,13.3
"65000060-015",38,47.6,12.9
"65000060-057",51.9,33.6,13.4
"65000060-056",39.2,47,12.2
"65000060-064",43.9,41.1,13.6
"65000060-005",48.1,39.6,10.9
"65000060-047",51.1,36.8,10.6
"65000060-048",43.7,43.1,11.8
"65000060-050",49.6,38.5,10.7
"65000060-053",48.9,38.3,12
"65000060-026",30.8,57,10.2
"65000060-009",51,36,12
"65000060-043",48.9,38.1,11.7
"65000060-055",51.4,33.7,13.2
"65000060-002",46.5,39.7,12
"65000060-020",46.4,38.9,13.2
"65000060-029",23.5,65.7,9.2
"65000060-065",49.1,36.9,11.6
"65000060-030",38.2,46.4,14.1
"65000060-008",41.9,44.9,11
"65000060-061",50.2,35.5,12.5
"65000060-063",41.7,40.5,15.9
"65000060-022",43.5,42.3,12.5
"65000060-060",47.9,36.6,13.9
"65000060-023",41.4,45.2,12.1
"65000060-014",40.5,46,12.2
"65000060-033",39.6,47.2,10.9
"65000060-001",50.1,36.2,12.2
"65000060-040",48.8,39,10.8
"65000060-032",42.8,44.7,11.3
"65000060-025",34.3,52.3,12.3
"65000060-012",37.3,45.6,15.5
"65000060-062",42.3,45,11.6
"65000060-069",46.1,42.2,10
"65000060-021",17.6,73.1,7.9
"65000060-038",47.6,39.6,11.4
"65000060-042",49.8,36.8,12.1
"65000060-066",45.4,40.2,12.5
"65000060-031",30.6,55.6,11.9
"65000060-039",40.5,47.7,10.6
"65000060-068",52.9,31.7,13.7
"65000060-051",56,30.4,11.7
"65000060-049",45.2,41.2,12.2
"65000060-035",28.9,60.5,9.8
"65000060-028",20.1,69.2,9.4
"65000060-017",38.4,48.7,11.8
"65000060-027",32,55.3,10.8
"65000060-024",25.5,65,7.8
"65000060-018",36.6,50.3,12
"65000060-007",50.6,36.5,10.9
"65000060-058",46.2,38.4,13.5
"65000060-006",46.3,41.9,10.3
"65000050-012",25,60.6,13.1
"65000050-075",29.6,56.3,13
"65000050-058",19.2,66.4,12.6
"65000050-057",24.8,61.6,12.5
"65000050-014",26.3,61.4,11.2
"65000050-054",24.7,62.1,12.5
"65000050-011",25.5,61.7,11.5
"65000050-053",26.2,60.1,12.7
"65000050-017",22.6,63.5,12.6
"65000050-023",27.8,59.4,11.8
"65000050-051",27.3,59.4,12.4
"65000050-052",27.3,61.6,10.5
"65000050-020",22.6,64.5,12.1
"65000050-043",28.7,56.9,13.4
"65000050-028",26.6,62,10.3
"65000050-061",24.4,65.5,9.2
"65000050-036",23.7,63.9,11.3
"65000050-022",26,60.9,12.2
"65000050-065",34.3,53.4,11.7
"65000050-019",31.6,55.3,11.9
"65000050-010",28.3,59.8,10.8
"65000050-055",23.4,63.7,12
"65000050-035",21.3,66.2,10.8
"65000050-081",26.5,61.8,10.7
"65000050-032",28.7,57.5,12.5
"65000050-082",26.7,58.3,13.6
"65000050-026",44,43.9,10.6
"65000050-034",27.3,60.9,10.8
"65000050-076",29.8,56,13.1
"65000050-037",25.5,61.8,11.8
"65000050-031",28.6,57.9,12.3
"65000050-059",28.3,59.7,10.8
"65000050-062",28.8,58.5,11.7
"65000050-029",29.6,57.3,12.4
"65000050-083",28.2,58.3,12.6
"65000050-084",22.7,64.1,11.9
"65000050-044",26.9,58.8,12.8
"65000050-038",27.3,59.8,11.9
"65000050-041",29.6,57.7,11.5
"65000050-004",26.3,60.4,12.3
"65000050-060",33,54.7,11
"65000050-046",25.4,60.6,13
"65000050-071",26.1,58.8,13.9
"65000050-045",25,62.9,11.2
"65000050-049",24.7,64.6,9.2
"65000050-042",23.9,64.8,10.3
"65000050-015",26.5,60.4,12.1
"65000050-033",23.8,64.6,10.5
"65000050-047",23.2,65,10.6
"65000050-007",28.2,59.1,11.8
"65000050-064",31.9,54.4,12.8
"65000050-063",25.8,62,11.2
"65000050-073",26.5,60.2,12.6
"65000050-074",28.5,58.3,12.1
"65000050-030",26.9,60.2,12
"65000050-027",27.2,59.2,12.8
"65000050-070",26.2,60.3,12.3
"65000050-056",27.5,57.1,14
"65000050-009",26.1,59.8,12.9
"65000050-069",27.9,58.1,12.9
"65000050-025",24,63.1,11.8
"65000050-039",28,59.4,11.7
"65000050-008",29.7,57,12.4
"65000050-077",28.6,57.3,13.2
"65000050-001",29.1,59,11
"65000050-003",28.3,57.8,13.3
"65000050-080",27.5,57.9,13.6
"65000050-078",27.3,58.8,12.6
"65000050-024",23.3,62.9,12.6
"65000050-066",24.3,61.6,12.9
"65000050-021",25.6,61.6,11.8
"65000050-016",33.1,55.3,10.3
"65000050-005",28.9,58.2,11.9
"65000050-072",26.8,60.9,11
"65000050-068",25.4,63.1,10.4
"65000050-013",33,53.6,11.8
"65000050-002",26.2,63.7,9
"65000050-067",28.3,60.9,9.6
"65000050-079",32.6,52,14.2
"65000050-050",27.6,60.3,11.2
"65000050-040",25.1,62,11
"65000050-006",25.1,61.3,12.4
"65000050-048",29.2,57,12.9
"65000050-018",24.4,65.6,9.2
"65000120-010",33.3,51.8,13.4
"65000120-016",19.4,70.3,9.7
"65000120-007",33,53.7,12
"65000120-019",31.9,57.6,9.7
"65000120-024",46.9,45.3,7
"65000120-026",52.6,37.2,7.7
"65000120-015",25.9,62.2,9.7
"65000120-012",35,50.7,13.1
"65000120-011",34.2,48.8,15.1
"65000120-009",35.1,52,11.6
"65000120-032",35.5,57,7
"65000120-008",30.3,56.7,11.8
"65000120-029",40.2,41.6,16.9
"65000120-018",31,59.9,7.7
"65000120-020",35.2,59.2,5.6
"65000120-031",39,44.2,15.3
"65000120-013",28.2,58.9,12.4
"65000120-014",24.5,57.2,18
"65000120-023",33.1,53.3,13.2
"65000120-034",36.3,48.8,13.5
"65000120-030",33.7,50.3,14.6
"65000120-022",36.2,54.3,9
"65000120-017",30.4,62.5,7.1
"65000120-021",40.4,50,7.7
"65000120-025",35.5,54.3,8
"65000120-033",33.6,54.1,11.6
"65000120-005",35.9,48.1,13.7
"65000120-004",32.6,54.4,11.9
"65000120-006",38.4,41.9,18.1
"65000120-001",33.3,50.7,13.8
"65000120-002",38,48.3,12.1
"65000120-003",38.7,48,11.9
"65000280-004",35,53.3,10.3
"65000280-009",32.8,50.8,14.7
"65000280-010",35.6,47.5,15.8
"65000280-008",27.7,60.5,10.3
"65000280-003",34.1,54.3,10.6
"65000280-007",26.7,66.8,5.8
"65000280-001",35.5,53.3,10.3
"65000280-002",32.7,55.7,10.3
"65000280-005",40.6,48.8,9.5
"65000280-006",24.7,64.2,9.3
"65000070-001",25.8,62.1,10.6
"65000070-002",31.9,53,13.8
"65000070-003",25.6,60.4,13.2
"65000070-042",29.5,59.7,9.7
"65000070-014",31.7,53.5,13.9
"65000070-035",27.5,57.2,14.2
"65000070-036",29.2,59.2,10.6
"65000070-038",28.3,56.2,13.8
"65000070-039",28.3,58.6,12.4
"65000070-034",29.8,57.1,12.4
"65000070-025",21.4,64.6,12.5
"65000070-031",25.2,60.7,12.7
"65000070-040",28.6,58.1,12.2
"65000070-041",19.4,70.2,9.5
"65000070-004",24.1,64.1,11
"65000070-028",27.1,58,13.7
"65000070-023",22.1,67.2,9.8
"65000070-037",29,58,12
"65000070-015",27,61.1,11.2
"65000070-012",27.7,59.6,11.1
"65000070-018",25.3,59.9,14
"65000070-020",28.7,57.3,12.5
"65000070-019",29.7,57.7,11.4
"65000070-022",21.5,68.1,9.1
"65000070-032",28.3,58.6,11.9
"65000070-005",27.8,59.1,12.1
"65000070-024",37.4,48.6,13
"65000070-026",37,49.3,12.2
"65000070-016",25,60.5,13.4
"65000070-017",28.5,57.3,13.2
"65000070-033",25,61.6,12.3
"65000070-021",27.7,62.7,9
"65000070-006",28.2,59.4,11.1
"65000070-011",34.2,50.3,14.1
"65000070-027",30,55.3,13.7
"65000070-009",32.3,55,11.2
"65000070-013",31.6,52.5,13.8
"65000070-010",29.7,56.7,12
"65000070-030",29.7,57.3,11.4
"65000070-008",31.4,56.6,10.7
"65000070-029",31.4,55.7,11.6
"65000250-005",29.6,64.6,5.3
"65000250-007",32.6,59.2,6.5
"65000250-009",33.3,59.1,5.8
"65000250-010",36.1,55.8,6.3
"65000250-008",36.5,49.7,12.1
"65000250-002",38.9,49.2,11.1
"65000250-006",35.6,51.6,11.1
"65000250-011",23.1,67.6,8
"65000250-012",30.9,52.8,14.1
"65000250-004",31.4,53.9,11.5
"65000250-003",40.4,46.8,10.2
"65000250-001",44.4,47.9,6.3
"65000140-024",25.2,63.4,10.7
"65000140-002",24.7,63.6,10.5
"65000140-025",23.7,63.5,11.7
"65000140-003",25.2,63.3,10.7
"65000140-013",28.8,59.4,9.8
"65000140-022",23.8,64,11.4
"65000140-028",23.9,63.9,11
"65000140-027",23.2,65.4,10.3
"65000140-021",24.3,63.4,11.3
"65000140-006",24.7,63.7,10.8
"65000140-001",27.9,58.9,12.2
"65000140-032",27.4,58.4,13.2
"65000140-035",23.9,63.4,11.6
"65000140-017",22.9,64.5,11.6
"65000140-038",23.4,63.8,11.4
"65000140-016",25.3,62.7,11.3
"65000140-019",25.7,60.6,12.7
"65000140-029",24.2,64.5,10.5
"65000140-004",26.4,61.4,10.8
"65000140-037",24.3,63.8,10.8
"65000140-036",21.8,66.6,10.4
"65000140-033",19.3,68.6,10.5
"65000140-023",25.7,62.4,11
"65000140-031",20.9,68.2,10
"65000140-018",23,65.3,10.8
"65000140-005",25.5,62.2,10.8
"65000140-012",25.3,63.7,9.7
"65000140-030",24.2,63.9,10.6
"65000140-015",23.9,62.2,12.7
"65000140-009",28.2,59.4,11
"65000140-026",24.6,65.3,9.3
"65000140-014",25.4,63.3,9.9
"65000140-020",19,69.6,10.7
"65000140-010",22,66.1,10.7
"65000140-034",24.3,63.3,11.3
"65000140-007",27.3,59.5,12
"65000140-011",28,60.2,10.7
"65000140-008",25.3,62.5,11.1
"65000080-012",25.7,61.1,11.7
"65000080-011",25.7,61.4,11.5
"65000080-014",32.8,53,12.9
"65000080-018",31,54.1,13.9
"65000080-005",31.4,57.7,10
"65000080-004",32.8,52.7,13.2
"65000080-017",29.1,57.1,12.5
"65000080-008",29.4,56.5,13.3
"65000080-007",24,63.5,11.7
"65000080-010",26.2,59.8,13
"65000080-002",32.3,55.2,11.4
"65000080-013",24.1,60.9,12.1
"65000080-001",27.7,56.1,15
"65000080-009",28.2,56.6,14.4
"65000080-003",26,59.6,13.2
"65000080-020",26.9,57.5,14.6
"65000080-006",28.2,54,16.7
"65000080-019",28.7,58,12.1
"65000080-016",28.7,58.2,12.1
"65000080-015",28.4,57.5,13
"10018020-018",23.4,61.8,13.8
"10018020-010",33.5,49.3,14.9
"10018020-035",26,48.5,24.9
"10018020-011",17.9,68.5,13.1
"10018020-004",22.9,63.7,12.4
"10018020-045",47.4,34.3,16.8
"10018020-028",26.7,54.4,17.8
"10018020-009",25.2,58.6,13.6
"10018020-002",22.8,63.9,12.9
"10018020-016",29.6,54.2,15
"10018020-015",32.1,52.7,14.2
"10018020-008",25.9,61.5,12.1
"10018020-020",21.9,63,12.4
"10018020-044",31.8,51.2,16.2
"10018020-014",27.7,56.2,14.7
"10018020-006",29.5,58.4,11
"10018020-017",30.1,52.2,16.3
"10018020-039",34.6,48.5,15.4
"10018020-032",32.7,48.4,17.7
"10018020-001",22.9,63.7,12.4
"10018020-033",25.4,59.9,13.4
"10018020-031",26.5,55.1,16.2
"10018020-023",61.3,21,16.5
"10018020-041",32.9,48.7,17.3
"10018020-040",31.5,51.1,16.1
"10018020-043",31.2,53.5,14.4
"10018020-012",24.2,57.3,17.4
"10018020-034",20.3,64.5,13.6
"10018020-024",28,52.7,18.2
"10018020-030",27,57.3,14.9
"10018020-029",27.2,52.8,18.6
"10018020-005",20.8,64.7,13
"10018020-026",28.5,54.4,16.3
"10018020-027",20.3,63.5,13.9
"10018020-042",35.4,47.2,15.8
"10018020-021",33.1,48.3,16.9
"10018020-013",26.4,54.8,17
"10018020-038",25.6,57.6,15.6
"10018020-036",30.1,51.4,16.8
"10018020-019",34.4,47.8,16.6
"10018020-003",24.2,63.4,12.1
"10018020-037",26.8,56.5,15.7
"10018020-007",28.3,57,13.2
"10018020-022",30.3,50.8,17.5
"10018020-025",30.1,52.2,16.3
"10018010-020",31.1,52.4,15.5
"10018010-008",30.3,48.3,20.6
"10018010-040",32.4,46.2,19.6
"10018010-012",27.2,60.9,11.1
"10018010-013",35.4,48.1,15.3
"10018010-018",35.6,46.4,16.3
"10018010-039",24.5,59.4,14.5
"10018010-044",35.3,44.5,18.9
"10018010-032",29.8,49.9,18.7
"10018010-035",50.2,25.3,22.4
"10018010-033",44,39.2,14.3
"10018010-023",30.8,53.2,14.7
"10018010-028",31.8,50.2,16.8
"10018010-010",24.9,55.9,16.7
"10018010-007",26,58.8,13.3
"10018010-009",20.7,65.2,12.6
"10018010-011",33.8,47.9,16.2
"10018010-053",32.3,44.9,21.7
"10018010-027",38.7,44.8,14.6
"10018010-005",24.3,63.5,11.2
"10018010-022",31.4,51.3,15.3
"10018010-021",31.2,50.8,16
"10018010-025",58.5,23.3,16.6
"10018010-045",39.4,40.9,18.4
"10018010-038",26.1,54.8,18
"10018010-015",27.5,54.2,16.4
"10018010-003",24.3,60.9,13.5
"10018010-001",23.5,60.3,14.5
"10018010-037",61.5,21,16
"10018010-048",33.1,51.3,13.9
"10018010-047",40.3,44,14.5
"10018010-036",45.2,35.7,16.9
"10018010-041",28.1,54.9,15.3
"10018010-016",31,51.2,16.6
"10018010-030",33.9,48.4,16.2
"10018010-031",31.8,51.4,15.4
"10018010-014",30.9,53.6,14.1
"10018010-019",35.3,49.3,13.8
"10018010-050",33.4,48.8,15.9
"10018010-052",33.4,51.4,14.2
"10018010-049",30.1,53,15.4
"10018010-043",33.8,46.1,18.7
"10018010-029",30.4,53.3,14.7
"10018010-006",29.7,57.1,13.2
"10018010-002",34.6,51,13
"10018010-026",37,46.6,14.6
"10018010-017",45.2,36.2,17.2
"10018010-051",34.5,44,20.2
"10018010-042",32.6,47.9,18.4
"10018010-024",38.5,44.4,15
"10018010-046",36.6,42.3,19.7
"10018010-004",21.1,65.3,11.5
"10018010-054",27.8,55.3,15.9
"10018030-013",24.7,59.1,15.5
"10018030-018",27.9,52.8,17
"10018030-007",29.2,54.8,14.9
"10018030-020",34.3,47.2,16.7
"10018030-021",29.4,54.5,14.6
"10018030-008",28.6,53.1,17.3
"10018030-010",34,46.9,17.8
"10018030-002",25.7,57.8,15.3
"10018030-003",26.7,55.5,16.9
"10018030-023",23.6,65.8,9.3
"10018030-019",31.7,50,16.4
"10018030-014",27.1,60.8,10.6
"10018030-017",24.4,54.2,20.7
"10018030-012",26,54.5,18.4
"10018030-011",30.1,50.8,17.7
"10018030-006",23.7,59.9,14.9
"10018030-004",19,64.3,15.3
"10018030-016",29.8,52.2,16.7
"10018030-009",25,55,18.7
"10018030-024",29.8,50.9,18.1
"10018030-015",27.2,55.8,15.6
"10018030-001",21.5,61.8,15.7
"10018030-005",19,68.6,11.2
"10018030-022",26.7,53.7,17.3
"10004130-001",39.1,15,44.7
"10004130-003",25.8,24.4,47.6
"10004130-002",37.8,27,35.2
"10004130-004",34.4,29.5,34.8
"10004090-006",37.9,33.7,27.3
"10004090-007",29.9,38,30.4
"10004090-004",26.6,45.4,25.8
"10004090-001",36.5,40.8,22
"10004090-009",29.4,52.5,18.1
"10004090-008",36.6,40,22.6
"10004090-005",35.8,36.2,26.4
"10004090-002",46.2,34.1,18.6
"10004090-003",36.3,37.6,23.6
"10004120-006",36.9,28.9,32.7
"10004120-007",39.5,32.2,26.7
"10004120-004",42.5,23.9,32.5
"10004120-003",39.2,18,41.8
"10004120-001",41.1,25.4,31.3
"10004120-002",39.8,25.6,33.9
"10004120-005",41.5,17.4,40.2
"10004010-021",27.7,49.6,21.3
"10004010-019",32.6,46.6,19.2
"10004010-017",21.6,60.8,16.6
"10004010-004",31.7,48.3,18.4
"10004010-030",34.8,42.9,20.8
"10004010-001",33.6,45.6,19.3
"10004010-024",34.5,42.7,21.4
"10004010-028",26.2,53.3,19.6
"10004010-015",23.5,57.6,17.7
"10004010-008",35.1,41.3,22.2
"10004010-007",33.6,43.1,22.2
"10004010-009",31.5,46.4,21
"10004010-020",17.2,62.1,18.9
"10004010-003",27.6,53.1,17.7
"10004010-006",31.7,40.5,26.3
"10004010-027",28.7,46.7,23.5
"10004010-010",32,43.1,23.6
"10004010-018",22,60.5,15.9
"10004010-002",31.9,47.7,19.2
"10004010-013",25,52.6,21.7
"10004010-023",28.9,53.6,15.9
"10004010-011",31.8,44,22.9
"10004010-022",30.1,47.7,21.2
"10004010-025",28.7,47,23
"10004010-016",16.8,67.3,13.7
"10004010-014",28.1,53.3,16.9
"10004010-005",31.5,46.7,19.7
"10004010-026",35.9,43.8,18.9
"10004010-029",39.6,40.6,18.5
"10004010-012",31.3,47,20
"10004020-012",42.5,32.3,23.8
"10004020-019",36.4,39.6,22.6
"10004020-015",36,38,24.5
"10004020-006",37.4,32,29.8
"10004020-001",32.4,30.4,35.7
"10004020-007",39.6,33.3,25.9
"10004020-020",41.1,36,21
"10004020-021",32.9,39.9,25.9
"10004020-014",37.5,35,26.2
"10004020-013",36.6,36.9,25
"10004020-010",37.9,41.8,18.9
"10004020-024",41.2,36,21.1
"10004020-008",40.5,41.1,17.3
"10004020-005",40.4,32.2,26.2
"10004020-022",40.1,37.9,20.6
"10004020-018",29.9,47.6,20.8
"10004020-017",35.4,40,23.6
"10004020-004",37.6,32.9,27.9
"10004020-009",43.1,31.7,23.7
"10004020-003",39.8,38.5,20.4
"10004020-025",33.7,36.1,28.5
"10004020-002",38.1,40.3,20.1
"10004020-023",42.1,32.5,23.7
"10004020-011",42.3,34.5,21.9
"10004020-016",37.4,38.5,22.5
"10004070-012",37.7,41.8,19
"10004070-011",33.6,42.9,21.8
"10004070-007",44.3,30.1,23.7
"10004070-001",46.5,34.1,16.9
"10004070-009",38.3,38.4,21.9
"10004070-008",33.3,41.2,22.9
"10004070-004",42.9,31.9,23.1
"10004070-005",36.9,38.8,22.9
"10004070-003",40,31.6,26.4
"10004070-010",36.5,41,20.4
"10004070-002",44.2,37.3,17.5
"10004070-006",33,46.6,18.4
"10004110-005",34.8,49.5,14.1
"10004110-002",31.4,48.7,18.8
"10004110-003",33.2,46.8,19.3
"10004110-001",41.9,39.6,16.2
"10004110-004",36.7,43.3,18.1
"10004110-006",30.8,53.3,15
"10004050-018",38.9,40.8,19.1
"10004050-005",36,40.1,22.3
"10004050-016",43.8,30.3,24.4
"10004050-002",40.3,37.8,19.7
"10004050-001",43.8,34.4,20
"10004050-007",32.8,48.2,17.4
"10004050-019",33.8,41.1,23.9
"10004050-013",28.5,43.4,26.5
"10004050-009",28.5,47.2,22.2
"10004050-008",37.4,39.7,21.6
"10004050-004",35.2,41.8,21.9
"10004050-017",34.8,40.2,23.7
"10004050-020",42.7,32.3,23.6
"10004050-010",37.6,41.4,19.7
"10004050-012",41.6,35.4,21.8
"10004050-011",44.6,32,21.7
"10004050-003",38.3,42.5,18.1
"10004050-015",41,31.7,25.9
"10004050-014",35.5,40.8,22.3
"10004050-006",34.8,41.3,22.8
"10004030-012",31.9,47.4,19.2
"10004030-011",28.3,49.3,20.9
"10004030-004",29.9,45,23.7
"10004030-001",27.7,49.4,21.2
"10004030-003",34.8,42.9,21.3
"10004030-014",24.7,55.3,19
"10004030-005",28.8,49.5,20.5
"10004030-015",22.6,59.9,16.2
"10004030-007",37,41.6,20.1
"10004030-006",33.9,42.5,21.9
"10004030-013",29.4,51.1,17.7
"10004030-017",20.2,61,16.7
"10004030-018",25.5,56.5,17.1
"10004030-019",27.8,60.1,10.8
"10004030-010",41.1,36.9,20
"10004030-009",33.3,51.1,14.7
"10004030-008",42.2,41.3,15.2
"10004030-016",27.3,51.6,20.5
"10004030-002",35.9,46.2,16.6
"10004060-012",34.8,42.5,21.4
"10004060-015",36.2,39.7,22.4
"10004060-007",33,40.3,24.9
"10004060-006",25.3,58,14.8
"10004060-014",38.2,37.7,23.2
"10004060-011",36.5,38.7,23.5
"10004060-016",31.9,40.8,26.3
"10004060-003",33.7,42.3,23
"10004060-002",29.4,47.2,21
"10004060-008",36.6,40.7,21.5
"10004060-010",36.7,37.7,24.3
"10004060-004",21.4,60.1,17.8
"10004060-017",33.7,42,22.7
"10004060-009",23.8,59.3,14.9
"10004060-005",26.8,47.5,24.8
"10004060-001",29.6,50.4,19.1
"10004060-013",29.7,45.9,23.5
"10004080-011",42.2,33.4,22.9
"10004080-010",42.4,29.4,27.2
"10004080-006",44.1,32,22.4
