"townname","kmt","ddp","pfp"
"臺北市北投區","33.5","55.2","9.9"
"臺北市士林區","31.7","57.5","9.4"
"臺北市大同區","26.3","62.5","9.9"
"臺北市中山區","34","54.2","10.4"
"臺北市松山區","39.9","48.2","10.3"
"臺北市內湖區","37.2","50","11.2"
"臺北市南港區","35.5","51.5","11.5"
"臺北市萬華區","34.1","54.4","10.1"
"臺北市中正區","39.4","48.5","10.5"
"臺北市大安區","42.2","46.2","9.9"
"臺北市信義區","39.9","47.9","10.7"
"臺北市文山區","44","42.9","11.3"
"臺南市後壁區","18.2","72.1","8.1"
"臺南市白河區","19.5","71","7.8"
"臺南市北門區","18.7","71.6","8.6"
"臺南市學甲區","17.2","74.1","7.7"
"臺南市鹽水區","18.6","71.4","8.6"
"臺南市新營區","25.1","61.9","11.7"
"臺南市柳營區","19.1","70.1","9.5"
"臺南市東山區","19.8","67.5","11.3"
"臺南市將軍區","15.2","76.7","6.7"
"臺南市下營區","19.4","70.9","8.1"
"臺南市六甲區","17.7","72.1","8.8"
"臺南市官田區","16.6","74.5","7.8"
"臺南市七股區","15.7","75.3","7.5"
"臺南市佳里區","19","71.1","8.6"
"臺南市麻豆區","14.6","77.1","7"
"臺南市善化區","18.9","71.2","8.7"
"臺南市大內區","18","71","9.3"
"臺南市玉井區","29.5","56.9","12.5"
"臺南市楠西區","31.2","51","16.5"
"臺南市西港區","15.9","75.3","7.3"
"臺南市安定區","18.1","72.1","8.3"
"臺南市新市區","18.6","71.1","9.2"
"臺南市山上區","20.3","69.6","8.6"
"臺南市新化區","22.1","65.6","11.1"
"臺南市左鎮區","23.1","66.2","8.8"
"臺南市南化區","26.1","56.6","15.9"
"臺南市安南區","17.7","70.8","10.3"
"臺南市北區","25.8","61.4","11.6"
"臺南市中西區","24.3","64.2","10.4"
"臺南市安平區","24","62.2","12.7"
"臺南市南區","22.3","66.2","10.2"
"臺南市東區","28.9","58.1","11.6"
"臺南市永康區","23.2","63.8","11.9"
"臺南市仁德區","22.6","66","10.1"
"臺南市歸仁區","18.9","70.8","9"
"臺南市關廟區","20.1","69.9","8.9"
"臺南市龍崎區","22.2","65.8","10.5"
"臺東縣臺東市","40.7","41.9","16.3"
"臺東縣成功鎮","50.4","29.7","19"
"臺東縣關山鎮","45.8","38.1","14.9"
"臺東縣卑南鄉","40.1","42.7","15.9"
"臺東縣鹿野鄉","38.1","45.3","15"
"臺東縣池上鄉","40.6","44.5","13.6"
"臺東縣東河鄉","50.2","32","16.9"
"臺東縣長濱鄉","52.9","30.6","15.2"
"臺東縣太麻里鄉","43.4","38.9","16.3"
"臺東縣大武鄉","52.2","29.9","16.7"
"臺東縣綠島鄉","48.8","22.5","27.4"
"臺東縣海端鄉","60.3","19","18.5"
"臺東縣延平鄉","62.4","21.1","14.6"
"臺東縣金峰鄉","70.4","9.9","18.4"
"臺東縣達仁鄉","68.3","16.1","14.6"
"臺東縣蘭嶼鄉","28.7","22.4","46.3"
"澎湖縣馬公市","31","48.4","19.3"
"澎湖縣湖西鄉","23.6","58","16.6"
"澎湖縣白沙鄉","31.8","49.4","17.7"
"澎湖縣西嶼鄉","26.1","54.3","17.6"
"澎湖縣望安鄉","21.9","52.7","23.7"
"澎湖縣七美鄉","19.1","30.1","48.5"
"花蓮縣花蓮市","45.7","38.9","13.9"
"花蓮縣新城鄉","47.4","34.7","16.5"
"花蓮縣秀林鄉","48.6","26.7","23.2"
"花蓮縣吉安鄉","44","39.2","15.5"
"花蓮縣壽豐鄉","45.1","39.7","13.9"
"花蓮縣鳳林鎮","49.4","36.4","12.5"
"花蓮縣光復鄉","53.6","29.2","15.7"
"花蓮縣豐濱鄉","62","22.9","13.2"
"花蓮縣萬榮鄉","60","20.5","17.9"
"花蓮縣瑞穗鄉","49.6","34.3","14.5"
"花蓮縣玉里鎮","48.1","34.7","15.4"
"花蓮縣富里鄉","46.9","36.8","14.2"
"花蓮縣卓溪鄉","68.2","14.1","16.1"
"金門縣金城鎮","65.9","17.5","15.1"
"金門縣金寧鄉","59.3","21.9","16.9"
"金門縣烈嶼鄉","72","11.8","14.4"
"金門縣烏坵鄉","78","14.6","6.1"
"金門縣金湖鎮","64.1","18.3","16.4"
"金門縣金沙鎮","69","14.4","14.8"
"彰化縣伸港鄉","29.9","52.4","15.8"
"彰化縣線西鄉","31.8","47.3","18.7"
"彰化縣和美鎮","28.3","54.6","15.4"
"彰化縣鹿港鎮","25.8","58.7","13.6"
"彰化縣福興鄉","25.3","58.7","14"
"彰化縣秀水鄉","27.4","56.9","14"
"彰化縣彰化市","29.3","53.3","16"
"彰化縣花壇鄉","30.6","52.7","15.2"
"彰化縣芬園鄉","24.1","58.6","15.5"
"彰化縣芳苑鄉","23.8","61.1","13.3"
"彰化縣二林鎮","32.5","51.4","14.3"
"彰化縣埔鹽鄉","32.7","50.5","15"
"彰化縣溪湖鎮","29.1","53.9","15.6"
"彰化縣埔心鄉","24.4","60.3","14"
"彰化縣大城鄉","30.5","52.1","15.5"
"彰化縣竹塘鄉","25.6","63.7","8.7"
"彰化縣埤頭鄉","26.6","58.8","12.7"
"彰化縣北斗鎮","29.3","55.5","13.7"
"彰化縣溪州鄉","22.6","64.1","11.5"
"彰化縣大村鄉","27.7","56.6","14.3"
"彰化縣員林市","29.9","54.1","14.6"
"彰化縣永靖鄉","27.6","57.1","13.8"
"彰化縣社頭鄉","26.8","59.2","12.6"
"彰化縣田尾鄉","28.7","56.7","13"
"彰化縣田中鎮","30.3","55.7","12.5"
"彰化縣二水鄉","28.8","57.2","12.3"
"嘉義市東區","29.7","57","12.1"
"嘉義市西區","25.9","61.1","12"
"嘉義縣六腳鄉","18.6","69.2","10.3"
"嘉義縣東石鄉","24.8","59.7","13.5"
"嘉義縣朴子市","23.5","64.5","10.5"
"嘉義縣太保市","22.8","63.9","11.9"
"嘉義縣布袋鎮","26.6","60.9","10.9"
"嘉義縣義竹鄉","25.5","63.6","8.8"
"嘉義縣鹿草鄉","23.1","66.4","9"
"嘉義縣水上鄉","24.5","62.1","12.2"
"嘉義縣溪口鄉","17.6","73","7.8"
"嘉義縣大林鎮","23.8","63.5","11.3"
"嘉義縣梅山鄉","23.1","63.7","11.8"
"嘉義縣新港鄉","18","73.1","7.5"
"嘉義縣民雄鄉","23.4","63.7","11.5"
"嘉義縣竹崎鄉","21","65.8","11.9"
"嘉義縣中埔鄉","22.1","65","11.5"
"嘉義縣番路鄉","22.7","63.7","12.2"
"嘉義縣阿里山鄉","46.3","36.9","15.6"
"嘉義縣大埔鄉","27.2","56.2","14.9"
